====================================================================================================
ADAPTIVE WEIGHT OPTIMIZER - FINAL RESULTS
====================================================================================================
DRY RUN: ON (template files not modified)
RUN FINGERPRINT: see JSON output (runFingerprint)
OPT_SEED: phoenix2026_a

STEP 1: HISTORICAL METRIC CORRELATIONS
Functions: buildHistoricalMetricSamples, computeHistoricalMetricCorrelations (adaptiveOptimizer_v2.js)
  Course Management::Course Management: Approach <200 FW Prox: 0.0887
  Course Management::Course Management: Approach >200 FW Prox: 0.0569
  Course Management::Poor Shots: -0.0077

Metric Stats Diagnostics (current-year ranking):
  Thresholds: stdDev<=0.05, count<10
  No metrics flagged under the thresholds.

Optimized Rankings (Current Year 2026):
  1: 31585 - Avant, Thomas | refined=1.2164, weighted=1.5587
  2: 18417 - Scheffler, Scottie | refined=0.9309, weighted=0.9425
  3: 18841 - Hovland, Viktor | refined=0.7426, weighted=0.7519
  4: 17606 - Berger, Daniel | refined=0.5817, weighted=0.5890
  5: 13562 - Matsuyama, Hideki | refined=0.4903, weighted=0.4964
  6: 21074 - Nakajima, Keita | refined=0.4420, weighted=0.4801
  7: 14609 - Kim, Si Woo | refined=0.4510, weighted=0.4566
  8: 23841 - Neergaard-Petersen, Rasmus | refined=0.3147, weighted=0.3294
  9: 16757 - Dou, Zecheng | refined=0.2614, weighted=0.3314
  10: 22085 - Morikawa, Collin | refined=0.3069, weighted=0.3127
  11: 17536 - Spaun, J.J. | refined=0.2788, weighted=0.2823
  12: 22985 - Smotherman, Austin | refined=0.2188, weighted=0.3537
  13: 32457 - Keefer, Johnny | refined=0.2637, weighted=0.2687
  14: 30620 - Chatfield, Davis | refined=0.1995, weighted=0.3225
  15: 21943 - Lebioda, Hank | refined=0.2003, weighted=0.3238
  16: 17576 - Conners, Corey | refined=0.2431, weighted=0.2462
  17: 18634 - McNealy, Maverick | refined=0.2449, weighted=0.2511
  18: 17365 - Mitchell, Keith | refined=0.2332, weighted=0.2391
  19: 21889 - Kang, Jeffrey | refined=0.1531, weighted=0.2474
  20: 16162 - Lee, S.T. | refined=0.1520, weighted=0.2457
  21: 25319 - VanDerLaan, John | refined=0.1744, weighted=0.2536
  22: 21891 - Kitayama, Kurt | refined=0.2006, weighted=0.2031
  23: 24956 - Blanchet, Chandler | refined=0.1405, weighted=0.1861
  24: 24343 - Lamprecht, Christo | refined=0.1276, weighted=0.1811
  25: 29925 - Yellamaraju, Sudarshan | refined=0.1551, weighted=0.1777
  26: 17543 - Kim, Michael | refined=0.1772, weighted=0.1806
  27: 19895 - Schauffele, Xander | refined=0.1802, weighted=0.1825
  28: 32055 - Shipley, Neal | refined=0.1218, weighted=0.1545
  29: 11676 - Finau, Tony | refined=0.1552, weighted=0.1571
  30: 8825 - Harman, Brian | refined=0.1453, weighted=0.1471
  31: 20954 - Hirata, Kensei | refined=0.0898, weighted=0.1189
  32: 21554 - Poston, J.T. | refined=0.1374, weighted=0.1409
  33: 22465 - Penge, Marco | refined=0.0812, weighted=0.0850
  34: 16394 - Jaeger, Stephan | refined=0.1222, weighted=0.1245
  35: 24968 - Griffin, Ben | refined=0.1288, weighted=0.1312
  36: 12423 - Kirk, Chris | refined=0.1140, weighted=0.1154
  37: 19483 - Burns, Sam | refined=0.1107, weighted=0.1135
  38: 14502 - Cauley, Bud | refined=0.0977, weighted=0.0989
  39: 22760 - Hisatsune, Ryo | refined=0.0954, weighted=0.0972
  40: 16243 - Koepka, Brooks | refined=0.1029, weighted=0.1077
  41: 14636 - Spieth, Jordan | refined=0.0946, weighted=0.0958
  42: 23504 - Hoey, Rico | refined=0.0676, weighted=0.0685
  43: 21756 - Cole, Eric | refined=0.0736, weighted=0.0745
  44: 11889 - Fox, Ryan | refined=0.0712, weighted=0.0725
  45: 27364 - Thompson, Davis | refined=0.0795, weighted=0.0805
  46: 26651 - Young, Cameron | refined=0.0580, weighted=0.0587
  47: 23602 - Hojgaard, Nicolai | refined=0.0560, weighted=0.0567
  48: 23838 - Hojgaard, Rasmus | refined=0.0831, weighted=0.0842
  49: 14577 - English, Harris | refined=0.0565, weighted=0.0572
  50: 12577 - Woodland, Gary | refined=0.0571, weighted=0.0578
  51: 13764 - Parry, John | refined=0.0291, weighted=0.0296
  52: 25475 - Nyholm, Pontus | refined=0.0182, weighted=0.0259
  53: 23816 - Valimaki, Sami | refined=0.0360, weighted=0.0365
  54: 21883 - Ewart, A.J. | refined=0.0374, weighted=0.0413
  55: 28309 - Coody, Pierceson | refined=0.0636, weighted=0.0652
  56: 26096 - Bhatia, Akshay | refined=0.0122, weighted=0.0124
  57: 17511 - Straka, Sepp | refined=-0.0238, weighted=-0.0241
  58: 14792 - Saddier, Adrien | refined=0.0025, weighted=0.0027
  59: 26653 - Eckroat, Austin | refined=-0.0189, weighted=-0.0192
  60: 23014 - Theegala, Sahith | refined=-0.0064, weighted=-0.0065
  61: 17646 - Fitzpatrick, Matt | refined=-0.0045, weighted=-0.0046
  62: 18586 - Smith, Jordan | refined=-0.0325, weighted=-0.0329
  63: 28159 - Meissner, Mac | refined=-0.0470, weighted=-0.0476
  64: 15556 - Hughes, Mackenzie | refined=-0.0338, weighted=-0.0342
  65: 19846 - Bauchou, Zach | refined=-0.0487, weighted=-0.0529
  66: 29433 - Bridgeman, Jacob | refined=-0.0495, weighted=-0.0501
  67: 15310 - Li, Haotong | refined=-0.0834, weighted=-0.0850
  68: 16283 - Rodgers, Patrick | refined=-0.0623, weighted=-0.0631
  69: 12808 - Grillo, Emiliano | refined=-0.0793, weighted=-0.0803
  70: 11049 - Simpson, Webb | refined=-0.0670, weighted=-0.0683
  71: 13126 - Taylor, Nick | refined=-0.0790, weighted=-0.0805
  72: 11276 - Horschel, Billy | refined=-0.0936, weighted=-0.0953
  73: 12965 - Fowler, Rickie | refined=-0.0984, weighted=-0.0996
  74: 14509 - Dahmen, Joel | refined=-0.0978, weighted=-0.1003
  75: 29197 - Brennan, Michael | refined=-0.0815, weighted=-0.0854
  76: 23604 - Clark, Wyndham | refined=-0.1012, weighted=-0.1031
  77: 19396 - Knapp, Jake | refined=-0.1050, weighted=-0.1077
  78: 18474 - Smalley, Alex | refined=-0.1130, weighted=-0.1144
  79: 15575 - Hoge, Tom | refined=-0.1391, weighted=-0.1418
  80: 18103 - Bezuidenhout, Christiaan | refined=-0.1290, weighted=-0.1323
  81: 28635 - McCarty, Matt | refined=-0.1571, weighted=-0.1591
  82: 19477 - Schenk, Adam | refined=-0.1439, weighted=-0.1476
  83: 28016 - Gonzalez, Emilio | refined=-0.1516, weighted=-0.1647
  84: 18628 - Campbell, Brian | refined=-0.1863, weighted=-0.1898
  85: 27164 - Phillips, Chandler | refined=-0.1880, weighted=-0.1941
  86: 27774 - Gotterup, Chris | refined=-0.2006, weighted=-0.2057
  87: 22002 - Dumont De Chassart, Adrien | refined=-0.1932, weighted=-0.2037
  88: 24766 - Kim, Tom | refined=-0.2197, weighted=-0.2239
  89: 24342 - Higgo, Garrick | refined=-0.2182, weighted=-0.2209
  90: 25569 - Stevens, Sam | refined=-0.2142, weighted=-0.2182
  91: 23505 - McGreevy, Max | refined=-0.2371, weighted=-0.2416
  92: 21407 - Reitan, Kristoffer | refined=-0.2590, weighted=-0.2622
  93: 13412 - Olesen, Thorbjorn | refined=-0.2470, weighted=-0.2517
  94: 27194 - Hall, Harry | refined=-0.2383, weighted=-0.2428
  95: 17538 - Homa, Max | refined=-0.2810, weighted=-0.2845
  96: 17032 - Tosti, Alejandro | refined=-0.3110, weighted=-0.3149
  97: 19960 - Pavon, Matthieu | refined=-0.3099, weighted=-0.3137
  98: 24304 - Vilips, Karl | refined=-0.3118, weighted=-0.3157
  99: 17550 - Van Rooyen, Erik | refined=-0.3252, weighted=-0.3313
  100: 22833 - Echavarria, Nico | refined=-0.3716, weighted=-0.3787
  101: 5768 - Hoffman, Charley | refined=-0.3588, weighted=-0.3633
  102: 25003 - Walker, Danny | refined=-0.3634, weighted=-0.3703
  103: 11451 - Garnett, Brice | refined=-0.3619, weighted=-0.3688
  104: 16333 - Hubbard, Mark | refined=-0.3715, weighted=-0.3762
  105: 16841 - Lee, Min Woo | refined=-0.3721, weighted=-0.3767
  106: 27900 - Potgieter, Aldrich | refined=-0.3828, weighted=-0.3927
  107: 13470 - Kizzire, Patton | refined=-0.3850, weighted=-0.3898
  108: 29770 - Mouw, William | refined=-0.4014, weighted=-0.4064
  109: 21688 - Kim, S.H. | refined=-0.4298, weighted=-0.4351
  110: 23475 - Novak, Andrew | refined=-0.4403, weighted=-0.4516
  111: 20722 - Schmid, Matti | refined=-0.4505, weighted=-0.4561
  112: 23465 - Greyserman, Max | refined=-0.4169, weighted=-0.4248
  113: 20766 - Brown, Dan | refined=-0.4440, weighted=-0.4496
  114: 26649 - Thorbjornsen, Michael | refined=-0.4446, weighted=-0.4502
  115: 17786 - Davis, Cam | refined=-0.4377, weighted=-0.4490
  116: 28469 - Highsmith, Joe | refined=-0.4772, weighted=-0.4863
  117: 19729 - Kanaya, Takumi | refined=-0.5746, weighted=-0.5818
  118: 18424 - Roy, Kevin | refined=-0.5688, weighted=-0.5759
  119: 14926 - Malnati, Peter | refined=-0.5856, weighted=-0.5929
  120: 19840 - Ramey, Chad | refined=-0.6072, weighted=-0.6228
  121: 25908 - Whaley, Vince | refined=-0.6167, weighted=-0.6284
  122: 19872 - Riley, Davis | refined=-0.6635, weighted=-0.6761
  123: 12909 - Campos, Rafael | refined=-0.6551, weighted=-0.6633

STEP 4: MULTI-YEAR VALIDATION (with 2026 approach metrics)
Functions: runRanking, aggregateYearlyEvaluations (adaptiveOptimizer_v2.js)
  2021: Corr=0.8475, R²=0.7182, RMSE=70.79, MAE=69.63, Mean Err=69.63, Std Err=12.75, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=96.4%, Subset RMSE=90.42, Subset Top-20=0.0%, Pct RMSE=5.02, Stress=INSUFFICIENT (players<20), Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=19
  2022: Corr=0.9667, R²=0.9346, RMSE=72.10, MAE=70.88, Mean Err=70.88, Std Err=13.17, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=98.5%, Subset RMSE=86.11, Subset Top-20=0.0%, Pct RMSE=3.44, Stress=PASS, Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=26
  2023: Corr=0.8439, R²=0.7122, RMSE=62.38, MAE=61.36, Mean Err=61.36, Std Err=11.25, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=93.8%, Subset RMSE=76.04, Subset Top-20=0.0%, Pct RMSE=2.82, Stress=PASS, Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=28
  2024: Corr=0.9370, R²=0.8779, RMSE=61.01, MAE=60.42, Mean Err=60.42, Std Err=8.43, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=97.9%, Subset RMSE=66.75, Subset Top-20=0.0%, Pct RMSE=1.71, Stress=PASS, Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=40
  2025: Corr=0.9462, R²=0.8953, RMSE=39.75, MAE=39.00, Mean Err=39.00, Std Err=7.66, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=93.6%, Subset RMSE=51.73, Subset Top-20=0.0%, Pct RMSE=1.29, Stress=PASS, Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=41
  2026: Corr=0.4007, R²=0.1606, RMSE=42.36, MAE=34.38, Mean Err=24.44, Std Err=34.60, Top-10=40.0%, Top-20=45.0%, Top-20 Weighted=58.4%, Subset RMSE=40.56, Subset Top-20=45.0%, Pct RMSE=0.56, Stress=FAIL (top20W<60%), Top-10 Overlap=4/10, Top-20 Overlap=9/20, Players=73

RECOMMENDATION:
No improvement, stick with VALIDATION_TECHNICAL

TEMPLATE WRITE SUMMARY:
Event template (TPC_SCOTTSDALE): not written
Standard templates: no updates

---
